[2025-12-24 03:47:49.017] [info]  DiscordSplash.signalReady
[2025-12-24 03:47:49.027] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-24 03:47:49.027] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-12-24 03:47:49.029] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-24 03:47:49.029] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-12-24 03:47:49.041] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-24 03:47:49.044] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-12-24 03:47:49.046] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-24 03:47:49.046] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-12-24 03:47:49.047] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-24 03:47:49.047] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-12-24 03:47:49.048] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-24 03:47:49.049] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-12-24 03:47:49.049] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-24 03:47:49.049] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-12-24 03:47:49.558] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-24 03:47:49.559] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-12-24 03:47:50.017] [info]  Splash.updateCountdownSeconds: undefined
[2025-12-24 03:47:50.470] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-12-24 03:47:50.470] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-12-24 03:47:50.588] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-12-24 03:47:50.589] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":5}
[2025-12-24 03:47:50.589] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-12-24 03:47:50.590] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":6}
[2025-12-24 03:47:50.690] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-12-24 03:47:50.691] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":9}
[2025-12-24 03:47:50.692] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-12-24 03:47:50.692] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":10}
[2025-12-24 03:47:50.695] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-12-24 03:47:50.696] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":12}
[2025-12-24 03:47:50.700] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-12-24 03:47:50.701] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":13}
[2025-12-24 03:47:50.708] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-12-24 03:47:50.708] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":14}
[2025-12-24 03:47:50.794] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-12-24 03:47:50.794] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":16}
[2025-12-24 03:47:50.797] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-12-24 03:47:50.797] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":18}
[2025-12-24 03:47:50.799] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":21}
